"","update","genomeLength","countPoint","repNum"
"1",0,"500",0,"101"
"2",1,"500",0,"101"
"3",2,"500",0,"101"
"4",3,"500",2,"101"
"5",4,"500",4,"101"
"6",5,"500",5,"101"
"7",6,"500",8,"101"
"8",7,"500",10,"101"
"9",8,"500",11,"101"
"10",9,"500",11,"101"
"11",10,"500",13,"101"
"12",11,"500",15,"101"
"13",12,"500",16,"101"
"14",13,"500",17,"101"
"15",14,"500",17,"101"
"16",15,"500",18,"101"
"17",16,"500",18,"101"
"18",17,"500",21,"101"
"19",18,"500",25,"101"
"20",19,"500",25,"101"
"21",20,"500",25,"101"
"5002",0,"500",0,"102"
"5003",1,"500",0,"102"
"5004",2,"500",2,"102"
"5005",3,"500",3,"102"
"5006",4,"500",5,"102"
"5007",5,"500",8,"102"
"5008",6,"500",12,"102"
"5009",7,"500",13,"102"
"5010",8,"500",14,"102"
"5011",9,"500",17,"102"
"5012",10,"500",17,"102"
"5013",11,"500",18,"102"
"5014",12,"500",19,"102"
"5015",13,"500",21,"102"
"5016",14,"500",21,"102"
"5017",15,"500",24,"102"
"5018",16,"500",24,"102"
"5019",17,"500",27,"102"
"5020",18,"500",29,"102"
"5021",19,"500",29,"102"
"5022",20,"500",30,"102"
"10003",0,"1000",0,"101"
"10004",1,"1000",0,"101"
"10005",2,"1000",6,"101"
"10006",3,"1000",8,"101"
"10007",4,"1000",9,"101"
"10008",5,"1000",12,"101"
"10009",6,"1000",18,"101"
"10010",7,"1000",21,"101"
"10011",8,"1000",23,"101"
"10012",9,"1000",27,"101"
"10013",10,"1000",29,"101"
"10014",11,"1000",31,"101"
"10015",12,"1000",35,"101"
"10016",13,"1000",39,"101"
"10017",14,"1000",40,"101"
"10018",15,"1000",42,"101"
"10019",16,"1000",44,"101"
"10020",17,"1000",44,"101"
"10021",18,"1000",51,"101"
"10022",19,"1000",58,"101"
"10023",20,"1000",62,"101"
"15004",0,"1000",0,"102"
"15005",1,"1000",4,"102"
"15006",2,"1000",7,"102"
"15007",3,"1000",8,"102"
"15008",4,"1000",12,"102"
"15009",5,"1000",15,"102"
"15010",6,"1000",19,"102"
"15011",7,"1000",25,"102"
"15012",8,"1000",30,"102"
"15013",9,"1000",34,"102"
"15014",10,"1000",35,"102"
"15015",11,"1000",38,"102"
"15016",12,"1000",41,"102"
"15017",13,"1000",44,"102"
"15018",14,"1000",50,"102"
"15019",15,"1000",52,"102"
"15020",16,"1000",57,"102"
"15021",17,"1000",61,"102"
"15022",18,"1000",64,"102"
"15023",19,"1000",64,"102"
"15024",20,"1000",68,"102"
